Phase,Week,Step,Type,Duration,Tools,Deliverables,Description
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),1,1.1 Environment Setup,MAIN TASK,2-3 hours,"GitHub, Python, Conda/pip",GitHub repo link; Installed environment verification,1.1 Environment Setup
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),1,1.1 Environment Setup,SUBTASK,,,,1.1.1 Create GitHub repository (AAHRC-Calculator)
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),1,1.1 Environment Setup,SUBTASK,,,,1.1.2 Install Python 3.10+ with conda/pip
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),1,1.1 Environment Setup,SUBTASK,,,,1.1.3 Set up virtual environment (venv or conda)
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),1,1.1 Environment Setup,SUBTASK,,,,"1.1.4 Install core packages: pandas, numpy, scikit-learn, lifelines, matplotlib, seaborn"
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),1,1.1 Environment Setup,SUBTASK,,,,"1.1.5 Create folder structure: /data, /analysis, /models, /notebooks, /results, /app"
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),1,1.1 Environment Setup,SUBTASK,,,,"1.1.6 Initialize .gitignore (include /data, /models, .DS_Store)"
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),1,1.2 Literature Review (Rapid),MAIN TASK,4-5 hours,"PubMed, Google Scholar",Key statistics summary spreadsheet; Risk estimates table,1.2 Literature Review (Rapid)
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),1,1.2 Literature Review (Rapid),SUBTASK,,,,1.2.1 Review 5-7 key BP-albuminuria papers (already summarized in proposal)
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),1,1.2 Literature Review (Rapid),SUBTASK,,,,"1.2.2 Extract key statistics: risk ratios, C-statistics, prevalence data"
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),1,1.2 Literature Review (Rapid),SUBTASK,,,,1.2.3 Document baseline risk estimates for CVD by category
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),1,1.2 Literature Review (Rapid),SUBTASK,,,,1.2.4 Identify any published AABPI or similar scores
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),2,1.3 Download & Explore NHANES Data,MAIN TASK,3-4 hours,"Python (pandas, pyreadstat), R (haven)",merged_nhanes_2017_2020.csv; Data dictionary (300-400 rows),1.3 Download & Explore NHANES Data
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),2,1.3 Download & Explore NHANES Data,SUBTASK,,,,1.3.1 Go to CDC NHANES website (wwwn.cdc.gov/nchs/nhanes/)
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),2,1.3 Download & Explore NHANES Data,SUBTASK,,,,1.3.2 Download 2017-2020 cycle data:
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),2,1.3 Download & Explore NHANES Data,SUBTASK,,,,"       - ALB_CR_H.XPT (albuminuria, ~14,919 records)"
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),2,1.3 Download & Explore NHANES Data,SUBTASK,,,,       - BPX_H.XPT (blood pressure)
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),2,1.3 Download & Explore NHANES Data,SUBTASK,,,,       - DEMO_H.XPT (demographics)
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),2,1.3 Download & Explore NHANES Data,SUBTASK,,,,1.3.3 Merge datasets on SEQN (sequence number)
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),2,1.3 Download & Explore NHANES Data,SUBTASK,,,,1.3.4 Convert from SAS/STATA format to CSV using Python/R
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),2,1.4 Initial Data Exploration (EDA),MAIN TASK,4-5 hours,"Python (pandas, seaborn, matplotlib)",EDA_Report.html (with summary tables & histograms); Missing_Data_Analysis.csv,1.4 Initial Data Exploration (EDA)
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),2,1.4 Initial Data Exploration (EDA),SUBTASK,,,,1.4.1 Load data into Python/R
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),2,1.4 Initial Data Exploration (EDA),SUBTASK,,,,"1.4.2 Check sample size: Should be ~14,919 with BP + uACR data"
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),2,1.4 Initial Data Exploration (EDA),SUBTASK,,,,"1.4.3 Descriptive statistics: mean, SD, min, max for:"
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),2,1.4 Initial Data Exploration (EDA),SUBTASK,,,,       - Age (RIDAGEYR): expect 18-80 years
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),2,1.4 Initial Data Exploration (EDA),SUBTASK,,,,"       - SBP (SBPX1, SBPX2, SBPX3): expect 90-240 mmHg"
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),2,1.4 Initial Data Exploration (EDA),SUBTASK,,,,"       - DBP (DBPX1, DBPX2, DBPX3): expect 40-150 mmHg"
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),2,1.4 Initial Data Exploration (EDA),SUBTASK,,,,       - uACR (UALBUMC): expect 0-5000 mg/g
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),2,1.4 Initial Data Exploration (EDA),SUBTASK,,,,1.4.4 Check missing data patterns (% missing for each)
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),2,1.4 Initial Data Exploration (EDA),SUBTASK,,,,1.4.5 Identify outliers/implausible values
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),2,1.5 Data Cleaning & Preprocessing,MAIN TASK,3-4 hours,Python (pandas),nhanes_cleaned.csv (final analytic file); Data_Cleaning_Log.txt,1.5 Data Cleaning & Preprocessing
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),2,1.5 Data Cleaning & Preprocessing,SUBTASK,,,,1.5.1 Handle missing data:
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),2,1.5 Data Cleaning & Preprocessing,SUBTASK,,,,"       - Drop rows with missing SBP, DBP, or uACR (main variables)"
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),2,1.5 Data Cleaning & Preprocessing,SUBTASK,,,,"       - For secondary variables, use median/mode imputation or flag"
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),2,1.5 Data Cleaning & Preprocessing,SUBTASK,,,,1.5.2 Create summary BP variable:
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),2,1.5 Data Cleaning & Preprocessing,SUBTASK,,,,       - Average of 3 readings: SBP_avg = (SBPX1 + SBPX2 + SBPX3) / 3
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),2,1.5 Data Cleaning & Preprocessing,SUBTASK,,,,       - Use most recent reading if not all 3 available
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),2,1.5 Data Cleaning & Preprocessing,SUBTASK,,,,1.5.3 Create uACR categories:
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),2,1.5 Data Cleaning & Preprocessing,SUBTASK,,,,       - Normal: <30 mg/g (reference)
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),2,1.5 Data Cleaning & Preprocessing,SUBTASK,,,,       - Microalbuminuria: 30-300 mg/g
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),2,1.5 Data Cleaning & Preprocessing,SUBTASK,,,,       - Macroalbuminuria: ≥300 mg/g
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),2,1.5 Data Cleaning & Preprocessing,SUBTASK,,,,1.5.4 Create SBP categories:
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),2,1.5 Data Cleaning & Preprocessing,SUBTASK,,,,       - Normal: <130 mmHg
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),2,1.5 Data Cleaning & Preprocessing,SUBTASK,,,,       - Elevated: ≥130 mmHg
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),2,1.5 Data Cleaning & Preprocessing,SUBTASK,,,,"1.5.5 Remove outliers: SBP <70 or >280, DBP <40 or >160"
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),2,1.5 Data Cleaning & Preprocessing,SUBTASK,,,,1.5.6 Filter age ≥18 years
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),3,1.6 Create AABPI Categories,MAIN TASK,2-3 hours,"Python (pandas, matplotlib)",AABPI_Categories.csv; Category_Distribution_Plot.png,1.6 Create AABPI Categories
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),3,1.6 Create AABPI Categories,SUBTASK,,,,1.6.1 Create 2×2 classification:
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),3,1.6 Create AABPI Categories,SUBTASK,,,,       Category 1: SBP <130 + uACR <30 → 'Normotension'
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),3,1.6 Create AABPI Categories,SUBTASK,,,,       Category 2: SBP ≥130 + uACR <30 → 'Isolated BP Elevation'
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),3,1.6 Create AABPI Categories,SUBTASK,,,,       Category 3: SBP <130 + uACR ≥30 → 'Occult Hypertension'
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),3,1.6 Create AABPI Categories,SUBTASK,,,,       Category 4: SBP ≥130 + uACR ≥30 → 'True HTN + HMOD'
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),3,1.6 Create AABPI Categories,SUBTASK,,,,1.6.2 Count patients in each category
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),3,1.6 Create AABPI Categories,SUBTASK,,,,1.6.3 Calculate % in each category
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),3,1.6 Create AABPI Categories,SUBTASK,,,,1.6.4 Create visualization (2×2 heatmap with counts)
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),3,1.7 Descriptive Analysis by Category,MAIN TASK,3-4 hours,"Python (pandas, scipy.stats)",Table1_BaselineCharacteristics.csv; Statistical_Tests.txt,1.7 Descriptive Analysis by Category
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),3,1.7 Descriptive Analysis by Category,SUBTASK,,,,1.7.1 Create Table 1: Baseline characteristics by AABPI category
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),3,1.7 Descriptive Analysis by Category,SUBTASK,,,,"       - Age, sex, race/ethnicity"
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),3,1.7 Descriptive Analysis by Category,SUBTASK,,,,"       - SBP, DBP, uACR (mean ± SD)"
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),3,1.7 Descriptive Analysis by Category,SUBTASK,,,,"       - BMI, eGFR (if available)"
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),3,1.7 Descriptive Analysis by Category,SUBTASK,,,,       - Hypertension prevalence (self-reported + BP)
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),3,1.7 Descriptive Analysis by Category,SUBTASK,,,,       - Diabetes prevalence
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),3,1.7 Descriptive Analysis by Category,SUBTASK,,,,1.7.2 Use pandas.groupby() to calculate
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),3,1.7 Descriptive Analysis by Category,SUBTASK,,,,"1.7.3 Run statistical tests (ANOVA, Kruskal-Wallis) comparing categories"
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),3,1.7 Descriptive Analysis by Category,SUBTASK,,,,1.7.4 Format table for publication
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),4,1.8 Submit SPRINT Data Request,MAIN TASK,1-2 hours,Web browser,Data request confirmation email; SPRINT Data Use Agreement (signed),1.8 Submit SPRINT Data Request
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),4,1.8 Submit SPRINT Data Request,SUBTASK,,,,1.8.1 Go to NIH BioLINCC (biolincc.nhlbi.nih.gov)
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),4,1.8 Submit SPRINT Data Request,SUBTASK,,,,1.8.2 Register for account if needed
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),4,1.8 Submit SPRINT Data Request,SUBTASK,,,,1.8.3 Search for SPRINT trial
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),4,1.8 Submit SPRINT Data Request,SUBTASK,,,,1.8.4 Complete data request form:
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),4,1.8 Submit SPRINT Data Request,SUBTASK,,,,       - Research project title
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),4,1.8 Submit SPRINT Data Request,SUBTASK,,,,       - Data use justification
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),4,1.8 Submit SPRINT Data Request,SUBTASK,,,,       - Agree to data use agreement
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),4,1.8 Submit SPRINT Data Request,SUBTASK,,,,1.8.5 Submit request (expect email in 2-4 weeks with download link)
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),4,1.9 Apply for UK Biobank Access (Optional),MAIN TASK,2-3 hours,"Web browser, Word/Google Docs",UK Biobank Application confirmation; Project proposal (saved),1.9 Apply for UK Biobank Access (Optional)
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),4,1.9 Apply for UK Biobank Access (Optional),SUBTASK,,,,1.9.1 Go to UK Biobank application portal
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),4,1.9 Apply for UK Biobank Access (Optional),SUBTASK,,,,1.9.2 Create account with institutional email
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),4,1.9 Apply for UK Biobank Access (Optional),SUBTASK,,,,1.9.3 Write project proposal (1-2 pages):
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),4,1.9 Apply for UK Biobank Access (Optional),SUBTASK,,,,       - Research question
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),4,1.9 Apply for UK Biobank Access (Optional),SUBTASK,,,,       - Methods
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),4,1.9 Apply for UK Biobank Access (Optional),SUBTASK,,,,       - Sample size
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),4,1.9 Apply for UK Biobank Access (Optional),SUBTASK,,,,       - Expected impact
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),4,1.9 Apply for UK Biobank Access (Optional),SUBTASK,,,,1.9.4 Submit application (expect review in 4-8 weeks)
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),4,1.10 Weekly Check-in & Documentation,MAIN TASK,1-2 hours,"GitHub, Markdown",README.md; CHANGELOG.md; GitHub commits,1.10 Weekly Check-in & Documentation
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),4,1.10 Weekly Check-in & Documentation,SUBTASK,,,,1.10.1 Commit all code to GitHub with descriptive messages
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),4,1.10 Weekly Check-in & Documentation,SUBTASK,,,,1.10.2 Create README.md documenting:
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),4,1.10 Weekly Check-in & Documentation,SUBTASK,,,,       - Project overview
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),4,1.10 Weekly Check-in & Documentation,SUBTASK,,,,       - Data sources and access instructions
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),4,1.10 Weekly Check-in & Documentation,SUBTASK,,,,       - File structure
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),4,1.10 Weekly Check-in & Documentation,SUBTASK,,,,       - How to run analyses
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),4,1.10 Weekly Check-in & Documentation,SUBTASK,,,,1.10.3 Create CHANGELOG.md documenting Week 1-4 progress
PHASE 1: SETUP & DATA ACQUISITION (Weeks 1-4),4,1.10 Weekly Check-in & Documentation,SUBTASK,,,,1.10.4 Document any blockers or next steps
PHASE 2: STATISTICAL MODELING (Weeks 5-12),5,2.1 Simulate CVD Outcomes for NHANES,MAIN TASK,3-4 hours,"Python (pandas, numpy)",nhanes_with_outcomes.csv; Risk_Calculation_Methodology.txt,2.1 Simulate CVD Outcomes for NHANES
PHASE 2: STATISTICAL MODELING (Weeks 5-12),5,2.1 Simulate CVD Outcomes for NHANES,SUBTASK,,,,"2.1.1 Since NHANES cross-sectional, simulate outcomes based on published risk"
PHASE 2: STATISTICAL MODELING (Weeks 5-12),5,2.1 Simulate CVD Outcomes for NHANES,SUBTASK,,,,2.1.2 Use baseline CVD risk by age/category from literature:
PHASE 2: STATISTICAL MODELING (Weeks 5-12),5,2.1 Simulate CVD Outcomes for NHANES,SUBTASK,,,,       - Age 45: baseline risk ~3-5%
PHASE 2: STATISTICAL MODELING (Weeks 5-12),5,2.1 Simulate CVD Outcomes for NHANES,SUBTASK,,,,       - Age 65: baseline risk ~8-12%
PHASE 2: STATISTICAL MODELING (Weeks 5-12),5,2.1 Simulate CVD Outcomes for NHANES,SUBTASK,,,,2.1.3 Calculate 10-year CVD risk by AABPI category:
PHASE 2: STATISTICAL MODELING (Weeks 5-12),5,2.1 Simulate CVD Outcomes for NHANES,SUBTASK,,,,       Category 1: 1.0× baseline (reference)
PHASE 2: STATISTICAL MODELING (Weeks 5-12),5,2.1 Simulate CVD Outcomes for NHANES,SUBTASK,,,,       Category 2: 1.5× baseline
PHASE 2: STATISTICAL MODELING (Weeks 5-12),5,2.1 Simulate CVD Outcomes for NHANES,SUBTASK,,,,       Category 3: 2.5× baseline
PHASE 2: STATISTICAL MODELING (Weeks 5-12),5,2.1 Simulate CVD Outcomes for NHANES,SUBTASK,,,,       Category 4: 4.0× baseline (from literature)
PHASE 2: STATISTICAL MODELING (Weeks 5-12),5,2.1 Simulate CVD Outcomes for NHANES,SUBTASK,,,,2.1.4 Create binary 10-year MACE outcome variable
PHASE 2: STATISTICAL MODELING (Weeks 5-12),5,2.1 Simulate CVD Outcomes for NHANES,SUBTASK,,,,2.1.5 Save as 'nhanes_with_outcomes.csv'
PHASE 2: STATISTICAL MODELING (Weeks 5-12),5,2.2 Develop Categorical AABPI (Formula 1),MAIN TASK,3-4 hours,"Python (scikit-learn, statsmodels)",Formula1_Categorical_Results.csv; Formula1_Model.pkl,2.2 Develop Categorical AABPI (Formula 1)
PHASE 2: STATISTICAL MODELING (Weeks 5-12),5,2.2 Develop Categorical AABPI (Formula 1),SUBTASK,,,,2.2.1 Create 2×2 categories as defined above
PHASE 2: STATISTICAL MODELING (Weeks 5-12),5,2.2 Develop Categorical AABPI (Formula 1),SUBTASK,,,,2.2.2 Assign scores 1-4
PHASE 2: STATISTICAL MODELING (Weeks 5-12),5,2.2 Develop Categorical AABPI (Formula 1),SUBTASK,,,,2.2.3 Logistic regression: AABPI category predicting 10-year CVD risk
PHASE 2: STATISTICAL MODELING (Weeks 5-12),5,2.2 Develop Categorical AABPI (Formula 1),SUBTASK,,,,2.2.4 Calculate odds ratios (OR) and 95% CI for each category vs. reference
PHASE 2: STATISTICAL MODELING (Weeks 5-12),5,2.2 Develop Categorical AABPI (Formula 1),SUBTASK,,,,2.2.5 Calculate C-statistic (AUC) for discrimination
PHASE 2: STATISTICAL MODELING (Weeks 5-12),5,2.2 Develop Categorical AABPI (Formula 1),SUBTASK,,,,2.2.6 Save model coefficients
PHASE 2: STATISTICAL MODELING (Weeks 5-12),5,2.3 Develop Ratio Method AABPI (Formula 2),MAIN TASK,3-4 hours,"Python (scikit-learn, matplotlib)",Formula2_Ratio_Results.csv; Formula2_Comparison.png,2.3 Develop Ratio Method AABPI (Formula 2)
PHASE 2: STATISTICAL MODELING (Weeks 5-12),5,2.3 Develop Ratio Method AABPI (Formula 2),SUBTASK,,,,2.3.1 Calculate AABPI_ratio = SBP / (1 + uACR/100)
PHASE 2: STATISTICAL MODELING (Weeks 5-12),5,2.3 Develop Ratio Method AABPI (Formula 2),SUBTASK,,,,2.3.2 Linear regression with continuous outcome: CVD risk ~ AABPI_ratio
PHASE 2: STATISTICAL MODELING (Weeks 5-12),5,2.3 Develop Ratio Method AABPI (Formula 2),SUBTASK,,,,2.3.3 Calculate C-statistic for this model
PHASE 2: STATISTICAL MODELING (Weeks 5-12),5,2.3 Develop Ratio Method AABPI (Formula 2),SUBTASK,,,,2.3.4 Compare to Formula 1 (categorical)
PHASE 2: STATISTICAL MODELING (Weeks 5-12),5,2.3 Develop Ratio Method AABPI (Formula 2),SUBTASK,,,,2.3.5 Create visualization: AABPI_ratio vs. CVD risk (scatter + trend)
PHASE 2: STATISTICAL MODELING (Weeks 5-12),6,2.4 Develop Regression-Based AABPI (Formula 3),MAIN TASK,4-5 hours,"Python (statsmodels, matplotlib)",Formula3_Regression_Coefficients.csv; Formula3_Interaction_Plot.png,2.4 Develop Regression-Based AABPI (Formula 3)
PHASE 2: STATISTICAL MODELING (Weeks 5-12),6,2.4 Develop Regression-Based AABPI (Formula 3),SUBTASK,,,,2.4.1 Logistic regression with multiple terms:
PHASE 2: STATISTICAL MODELING (Weeks 5-12),6,2.4 Develop Regression-Based AABPI (Formula 3),SUBTASK,,,,       AABPI_score = β0 + β1×SBP + β2×log(uACR) + β3×age + β4×female + β5×SBP×log(uACR)
PHASE 2: STATISTICAL MODELING (Weeks 5-12),6,2.4 Develop Regression-Based AABPI (Formula 3),SUBTASK,,,,2.4.2 Fit on NHANES data
