Phase,Week,Step,Type,Duration,Tools,Deliverables,Description
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),19,4.4 Write Introduction & Discussion,SUBTASK,,,,       - Future directions
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),19,4.4 Write Introduction & Discussion,SUBTASK,,,,4.4.3 Write Abstract (250 words):
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),19,4.4 Write Introduction & Discussion,SUBTASK,,,,"       - Background, Methods, Results, Conclusions format"
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),19,4.4 Write Introduction & Discussion,SUBTASK,,,,4.4.4 Add References (~50-80 citations)
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),19,4.5 Internal Review & Revision,MAIN TASK,4-5 hours,"Google Docs comments, Grammarly",Manuscript_Rev1.docx/pdf; Reviewer_Comments.txt,4.5 Internal Review & Revision
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),19,4.5 Internal Review & Revision,SUBTASK,,,,4.5.1 Self-review checklist:
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),19,4.5 Internal Review & Revision,SUBTASK,,,,       - All figures referenced in text?
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),19,4.5 Internal Review & Revision,SUBTASK,,,,       - All numbers/statistics accurate?
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),19,4.5 Internal Review & Revision,SUBTASK,,,,       - Formatting consistent?
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),19,4.5 Internal Review & Revision,SUBTASK,,,,       - Grammar & spelling check
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),19,4.5 Internal Review & Revision,SUBTASK,,,,4.5.2 Share manuscript with mentor/statistician for feedback
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),19,4.5 Internal Review & Revision,SUBTASK,,,,4.5.3 Incorporate feedback
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),19,4.5 Internal Review & Revision,SUBTASK,,,,4.5.4 Create clean version (Revision 1)
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),20,4.6 Select Target Journal & Prepare Submission,MAIN TASK,3-4 hours,Word/Google Docs,Formatted_Manuscript.pdf; Cover_Letter.docx; Highlights.txt,4.6 Select Target Journal & Prepare Submission
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),20,4.6 Select Target Journal & Prepare Submission,SUBTASK,,,,4.6.1 Decide target journal (priority order):
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),20,4.6 Select Target Journal & Prepare Submission,SUBTASK,,,,"       1. JAMA Network Open (high impact, open access)"
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),20,4.6 Select Target Journal & Prepare Submission,SUBTASK,,,,"       2. Hypertension (AHA, strong reputation)"
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),20,4.6 Select Target Journal & Prepare Submission,SUBTASK,,,,       3. American Journal of Hypertension
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),20,4.6 Select Target Journal & Prepare Submission,SUBTASK,,,,       4. BMJ Quality & Safety (if emphasizing QI)
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),20,4.6 Select Target Journal & Prepare Submission,SUBTASK,,,,"4.6.2 Review journal author instructions (word limit, format, references)"
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),20,4.6 Select Target Journal & Prepare Submission,SUBTASK,,,,4.6.3 Prepare submission package:
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),20,4.6 Select Target Journal & Prepare Submission,SUBTASK,,,,       - Manuscript (formatted per journal)
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),20,4.6 Select Target Journal & Prepare Submission,SUBTASK,,,,"       - Cover letter (1 page, highlighting novelty & impact)"
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),20,4.6 Select Target Journal & Prepare Submission,SUBTASK,,,,       - Highlights (3-4 bullet points for many journals)
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),20,4.6 Select Target Journal & Prepare Submission,SUBTASK,,,,       - Suggested reviewers (2-3 names + emails)
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),20,4.6 Select Target Journal & Prepare Submission,SUBTASK,,,,4.6.4 Create author contributions & acknowledgments section
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),20,4.6 Select Target Journal & Prepare Submission,SUBTASK,,,,4.6.5 Verify ORCID for all authors
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),20,4.7 Submit Manuscript to Journal #1,MAIN TASK,1-2 hours,Journal website,Submission_Confirmation_Email.pdf; Manuscript_ID.txt,4.7 Submit Manuscript to Journal #1
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),20,4.7 Submit Manuscript to Journal #1,SUBTASK,,,,4.7.1 Create account on journal submission portal
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),20,4.7 Submit Manuscript to Journal #1,SUBTASK,,,,4.7.2 Upload manuscript + supplementary materials
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),20,4.7 Submit Manuscript to Journal #1,SUBTASK,,,,4.7.3 Complete author & conflict of interest declarations
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),20,4.7 Submit Manuscript to Journal #1,SUBTASK,,,,4.7.4 Submit (likely takes 1-3 min per journal system)
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),20,4.7 Submit Manuscript to Journal #1,SUBTASK,,,,4.7.5 Receive confirmation email with manuscript ID
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),20,4.7 Submit Manuscript to Journal #1,SUBTASK,,,,"4.7.6 Document submission (date, journal, ID)"
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),21,4.8 Prepare Conference Abstracts,MAIN TASK,3-4 hours,Word/Google Docs,AHA_Abstract.txt; ASN_Abstract.txt; Conference_Timeline.md,4.8 Prepare Conference Abstracts
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),21,4.8 Prepare Conference Abstracts,SUBTASK,,,,4.8.1 Target conferences (in order of priority):
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),21,4.8 Prepare Conference Abstracts,SUBTASK,,,,"       1. American Heart Association Scientific Sessions (Nov, submission Aug)"
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),21,4.8 Prepare Conference Abstracts,SUBTASK,,,,"       2. ASN Kidney Week (Nov, submission deadline varies)"
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),21,4.8 Prepare Conference Abstracts,SUBTASK,,,,"       3. ACC/AHA Annual Meeting (Mar, submission Dec)"
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),21,4.8 Prepare Conference Abstracts,SUBTASK,,,,4.8.2 Check submission deadlines and requirements
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),21,4.8 Prepare Conference Abstracts,SUBTASK,,,,4.8.3 Write abstract for each (250-300 words):
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),21,4.8 Prepare Conference Abstracts,SUBTASK,,,,"       - Background, Methods, Results, Conclusions"
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),21,4.8 Prepare Conference Abstracts,SUBTASK,,,,       - Highlight novel findings
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),21,4.8 Prepare Conference Abstracts,SUBTASK,,,,       - Include preliminary data or results
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),21,4.8 Prepare Conference Abstracts,SUBTASK,,,,4.8.4 Check current submission deadlines & adjust
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),21,4.9 Submit Conference Abstracts,MAIN TASK,1-2 hours,Conference websites,AHA_Submission_Confirmation.pdf; ASN_Submission_Confirmation.pdf,4.9 Submit Conference Abstracts
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),21,4.9 Submit Conference Abstracts,SUBTASK,,,,4.9.1 AHA submission (if deadline not passed):
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),21,4.9 Submit Conference Abstracts,SUBTASK,,,,       - Go to professional.heart.org → Scientific Sessions
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),21,4.9 Submit Conference Abstracts,SUBTASK,,,,"       - Create account, submit abstract"
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),21,4.9 Submit Conference Abstracts,SUBTASK,,,,       - Track submission with confirmation email
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),21,4.9 Submit Conference Abstracts,SUBTASK,,,,4.9.2 ASN submission (if applicable):
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),21,4.9 Submit Conference Abstracts,SUBTASK,,,,       - Go to asn-online.org → Kidney Week
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),21,4.9 Submit Conference Abstracts,SUBTASK,,,,       - Submit abstract
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),21,4.9 Submit Conference Abstracts,SUBTASK,,,,4.9.3 Document submissions with IDs
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),22,4.10 Create Presentation Slides (If Abstract Accepted),MAIN TASK,4-5 hours,PowerPoint,AAHRC_Presentation.pptx; Speaker_Notes.docx,4.10 Create Presentation Slides (If Abstract Accepted)
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),22,4.10 Create Presentation Slides (If Abstract Accepted),SUBTASK,,,,4.10.1 Create PowerPoint deck (15-20 slides for scientific presentation):
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),22,4.10 Create Presentation Slides (If Abstract Accepted),SUBTASK,,,,       1. Title slide
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),22,4.10 Create Presentation Slides (If Abstract Accepted),SUBTASK,,,,"       2-3. Background (problem, gap, hypothesis)"
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),22,4.10 Create Presentation Slides (If Abstract Accepted),SUBTASK,,,,       4-5. Methods
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),22,4.10 Create Presentation Slides (If Abstract Accepted),SUBTASK,,,,       6-8. Results (key tables/figures)
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),22,4.10 Create Presentation Slides (If Abstract Accepted),SUBTASK,,,,       9-10. Comparison to existing tools
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),22,4.10 Create Presentation Slides (If Abstract Accepted),SUBTASK,,,,       11-12. Implications & clinical applications
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),22,4.10 Create Presentation Slides (If Abstract Accepted),SUBTASK,,,,       13. Limitations
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),22,4.10 Create Presentation Slides (If Abstract Accepted),SUBTASK,,,,       14. Conclusions
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),22,4.10 Create Presentation Slides (If Abstract Accepted),SUBTASK,,,,       15. Next steps
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),22,4.10 Create Presentation Slides (If Abstract Accepted),SUBTASK,,,,4.10.2 Design with consistent branding
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),22,4.10 Create Presentation Slides (If Abstract Accepted),SUBTASK,,,,4.10.3 Practice presentation (aim for 12-15 min + 3-5 min questions)
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),22,4.10 Create Presentation Slides (If Abstract Accepted),SUBTASK,,,,4.10.4 Create speaker notes for each slide
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),23,4.11 Prepare for Journal Peer Review (Manuscript Revision),MAIN TASK,2-3 hours,Email,Revision_Strategy_Plan.txt,4.11 Prepare for Journal Peer Review (Manuscript Revision)
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),23,4.11 Prepare for Journal Peer Review (Manuscript Revision),SUBTASK,,,,4.11.1 Journal will send editor decision in 4-8 weeks (likely)
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),23,4.11 Prepare for Journal Peer Review (Manuscript Revision),SUBTASK,,,,4.11.2 Expected outcomes:
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),23,4.11 Prepare for Journal Peer Review (Manuscript Revision),SUBTASK,,,,       a) Accept (rare on first submission)
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),23,4.11 Prepare for Journal Peer Review (Manuscript Revision),SUBTASK,,,,       b) Minor revisions (moderate revisions + resubmit)
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),23,4.11 Prepare for Journal Peer Review (Manuscript Revision),SUBTASK,,,,       c) Major revisions (substantial revisions + resubmit + re-review)
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),23,4.11 Prepare for Journal Peer Review (Manuscript Revision),SUBTASK,,,,       d) Reject & resubmit to next journal
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),23,4.11 Prepare for Journal Peer Review (Manuscript Revision),SUBTASK,,,,"4.11.2 In meantime, prepare revision strategy:"
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),23,4.11 Prepare for Journal Peer Review (Manuscript Revision),SUBTASK,,,,       - Identify any weaknesses likely to be critiqued
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),23,4.11 Prepare for Journal Peer Review (Manuscript Revision),SUBTASK,,,,       - Add additional analyses if needed
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),23,4.11 Prepare for Journal Peer Review (Manuscript Revision),SUBTASK,,,,       - Prepare responses to likely comments
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),23,4.11 Prepare for Journal Peer Review (Manuscript Revision),SUBTASK,,,,4.11.3 Check email regularly for editor decision
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),23,4.12 Create Supplementary Materials & Appendices,MAIN TASK,4-5 hours,"Word, GitHub, Plotly",Supplementary_Materials.pdf; GitHub_repo; Interactive_Supplement.html,4.12 Create Supplementary Materials & Appendices
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),23,4.12 Create Supplementary Materials & Appendices,SUBTASK,,,,4.12.1 Online supplementary document with:
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),23,4.12 Create Supplementary Materials & Appendices,SUBTASK,,,,       - Extended methods (additional statistical details)
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),23,4.12 Create Supplementary Materials & Appendices,SUBTASK,,,,       - Supplementary tables (all subgroup analyses)
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),23,4.12 Create Supplementary Materials & Appendices,SUBTASK,,,,"       - Supplementary figures (ROC curves, calibration plots)"
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),23,4.12 Create Supplementary Materials & Appendices,SUBTASK,,,,       - Sensitivity analysis results
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),23,4.12 Create Supplementary Materials & Appendices,SUBTASK,,,,       - STROBE checklist (for observational study)
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),23,4.12 Create Supplementary Materials & Appendices,SUBTASK,,,,4.12.2 Code repository (GitHub):
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),23,4.12 Create Supplementary Materials & Appendices,SUBTASK,,,,       - Analysis code (de-identified)
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),23,4.12 Create Supplementary Materials & Appendices,SUBTASK,,,,       - Model coefficients
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),23,4.12 Create Supplementary Materials & Appendices,SUBTASK,,,,       - Data dictionary
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),23,4.12 Create Supplementary Materials & Appendices,SUBTASK,,,,       - README for reproducibility
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),23,4.12 Create Supplementary Materials & Appendices,SUBTASK,,,,4.12.3 Interactive data visualization (online supplement)
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),23,4.12 Create Supplementary Materials & Appendices,SUBTASK,,,,       - Risk calculator in HTML format
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),23,4.12 Create Supplementary Materials & Appendices,SUBTASK,,,,       - Risk surface 3D plot
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),24,4.13 Final Documentation & Project Completion,MAIN TASK,4-5 hours,"Word/LaTeX, GitHub",Final_Project_Report.pdf; Project_Summary.docx; Lessons_Learned.txt,4.13 Final Documentation & Project Completion
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),24,4.13 Final Documentation & Project Completion,SUBTASK,,,,4.13.1 Create final project report (20-30 pages):
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),24,4.13 Final Documentation & Project Completion,SUBTASK,,,,       - Project overview
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),24,4.13 Final Documentation & Project Completion,SUBTASK,,,,       - Data sources & methods
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),24,4.13 Final Documentation & Project Completion,SUBTASK,,,,       - Key findings
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),24,4.13 Final Documentation & Project Completion,SUBTASK,,,,       - Calculator description
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),24,4.13 Final Documentation & Project Completion,SUBTASK,,,,       - Future directions
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),24,4.13 Final Documentation & Project Completion,SUBTASK,,,,       - All tables & figures
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),24,4.13 Final Documentation & Project Completion,SUBTASK,,,,4.13.2 Update GitHub with all final code & documentation
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),24,4.13 Final Documentation & Project Completion,SUBTASK,,,,4.13.3 Create project summary for presentation (1-2 pages)
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),24,4.13 Final Documentation & Project Completion,SUBTASK,,,,4.13.4 Document lessons learned & recommendations
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),24,4.13 Final Documentation & Project Completion,SUBTASK,,,,"4.13.5 Archive all project files (GitHub, institutional storage)"
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),24,4.14 Plan Next Steps & Dissemination,MAIN TASK,3-4 hours,"Email, Word/Google Docs",Dissemination_Plan.md; Phase2_Study_Proposal.docx,4.14 Plan Next Steps & Dissemination
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),24,4.14 Plan Next Steps & Dissemination,SUBTASK,,,,4.14.1 If manuscript accepted:
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),24,4.14 Plan Next Steps & Dissemination,SUBTASK,,,,       - Prepare press release (university communications)
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),24,4.14 Plan Next Steps & Dissemination,SUBTASK,,,,       - Contact media (health reporters)
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),24,4.14 Plan Next Steps & Dissemination,SUBTASK,,,,       - Create social media announcement
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),24,4.14 Plan Next Steps & Dissemination,SUBTASK,,,,       - Alert key opinion leaders
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),24,4.14 Plan Next Steps & Dissemination,SUBTASK,,,,4.14.2 Plan Phase 2 validation study (prospective or multi-site)
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),24,4.14 Plan Next Steps & Dissemination,SUBTASK,,,,4.14.3 Reach out to Epic/EHR vendors about integration
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),24,4.14 Plan Next Steps & Dissemination,SUBTASK,,,,4.14.4 Create lay-person educational materials
PHASE 4: VALIDATION & PUBLICATION (Weeks 17-24),24,4.14 Plan Next Steps & Dissemination,SUBTASK,,,,4.14.5 Plan national presentation tour (if funding available)
